"","MG","AR","Bio","GyM","GyO","MT","Ped","Psy","SP","An","Card","De","Endoc","Gastro","GM","Hemato","MI","MN","MPR","Nep","Neu","Onc","Pneu","Rad","Rhu","ChG","ChO","ChN","Opht","ORL","Tot"
"ILE DE France",656,91,16,10,40,27,66,99,16,12,37,17,11,21,2,7,19,6,13,9,15,25,16,36,14,60,3,3,20,18,1385
"STRASBOURG",136,13,3,1,9,5,9,13,2,2,5,4,1,3,1,1,4,1,3,3,4,5,2,9,3,14,NA,1,5,3,265
"NANCY",148,13,2,2,9,7,12,18,4,3,6,4,2,3,NA,2,4,3,2,3,4,6,5,9,3,15,1,NA,5,2,297
"BESANCON",62,10,2,1,5,3,6,14,2,2,4,3,2,4,2,1,2,1,3,2,3,3,3,6,2,12,NA,1,3,2,166
"DIJON",97,11,2,NA,5,9,7,16,2,2,5,3,2,3,1,2,4,1,2,2,4,3,3,7,2,10,1,NA,5,2,213
"REIMS",108,10,3,1,5,6,8,16,2,2,5,3,2,2,1,1,3,1,2,2,2,3,2,6,2,12,NA,1,4,2,217
"CAEN",102,11,3,1,6,6,9,16,4,3,7,3,1,4,1,1,3,1,5,3,4,5,4,7,3,10,1,1,3,4,232
"ROUEN",102,13,4,1,5,10,10,20,4,2,5,3,3,5,1,1,5,1,4,2,5,3,6,8,4,12,NA,NA,3,3,245
"LILLE",236,26,4,4,14,14,22,40,4,4,10,3,7,6,1,3,5,3,5,5,6,8,8,14,4,31,NA,1,10,5,503
"AMIENS",114,10,2,2,4,3,8,14,4,2,5,3,2,3,1,2,3,NA,1,3,4,3,3,6,2,17,NA,NA,3,2,226
"CLERMONT-FERRAND",85,11,3,NA,6,4,8,17,3,2,7,2,2,3,NA,1,4,NA,2,2,3,4,2,7,2,10,1,NA,5,3,199
"GRENOBLE",105,12,3,NA,6,5,8,11,3,2,4,2,2,3,NA,2,3,1,2,2,3,3,3,3,2,11,NA,1,4,2,208
"LYON",183,23,4,2,12,6,16,18,4,2,8,4,4,7,1,3,7,1,4,4,5,4,6,11,4,22,NA,1,9,4,379
"SAINT ETIENNE",84,8,3,NA,4,2,6,9,1,1,2,1,1,2,NA,2,2,1,3,1,2,2,2,4,3,8,NA,1,5,2,162
"BREST",88,7,2,1,4,7,4,13,4,1,3,3,1,3,1,3,2,2,2,2,3,5,2,4,2,8,NA,1,3,2,183
"RENNES",107,11,4,NA,6,10,7,11,2,2,6,3,2,4,1,1,3,1,2,3,3,5,3,5,3,11,NA,1,3,2,222
"ANGERS",112,8,4,NA,4,9,7,11,3,2,4,3,2,3,1,1,3,1,3,2,3,3,3,4,2,12,NA,NA,3,2,215
"NANTES",112,10,3,2,5,5,7,13,2,2,5,3,2,3,1,2,4,1,2,1,2,2,2,6,2,13,1,1,4,4,222
"TOURS",92,10,3,NA,5,NA,8,12,2,2,6,3,1,4,NA,1,5,NA,1,2,3,4,3,8,3,12,NA,NA,4,2,196
"POITIERS",122,9,2,NA,5,10,8,20,3,2,6,3,1,4,NA,1,3,1,1,2,3,5,3,6,3,11,NA,1,3,2,240
"MONTPELLIER",163,16,3,2,6,1,12,14,1,2,7,5,5,4,1,3,6,2,6,4,5,3,3,6,4,19,NA,1,4,4,312
"AIX MARSEILLE",218,22,3,2,10,6,14,25,4,3,7,4,3,4,1,2,5,1,4,4,4,6,5,9,3,23,NA,1,6,4,403
"NICE",87,9,1,1,4,2,5,11,1,1,3,1,1,2,NA,1,2,1,2,2,2,3,2,3,2,11,NA,NA,2,2,164
"BORDEAUX",204,16,10,4,9,5,10,22,6,4,10,4,4,5,1,1,5,1,6,4,4,6,3,8,4,17,NA,1,5,3,382
"OCEAN INDIEN",50,4,1,NA,5,NA,5,5,2,1,2,NA,2,1,NA,1,2,1,2,2,1,NA,2,3,NA,4,NA,NA,NA,NA,96
"TOULOUSE",163,18,4,3,8,6,9,23,3,3,7,3,3,4,NA,1,3,NA,4,3,3,2,4,11,4,15,1,NA,4,2,314
"LIMOGES",66,7,2,1,3,2,4,8,1,1,3,1,1,2,1,1,2,1,1,1,2,3,1,3,1,6,NA,NA,2,1,128
"ANTILLES-GUYANE",68,8,1,NA,6,NA,5,6,1,1,3,2,1,1,NA,NA,1,NA,2,2,2,1,1,3,1,7,NA,NA,3,3,129
"Tot",3870,417,97,41,210,170,300,515,90,68,182,93,71,113,20,48,114,34,89,77,104,125,102,212,84,413,9,18,130,87,7903
