"","MG","AR","Bio","GyM","GyO","MT","Ped","Psy","SP","An","Card","De","Endoc","Gastro","GM","Hemato","MI","MN","MPR","Nep","Neu","Onc","Pneu","Rad","Rhu","ChG","ChO","ChN","Opht","ORL","Tot"
"ILE DE France",531,76,15,7,37,25,64,89,16,12,34,15,9,20,2,7,15,5,13,9,13,25,15,32,14,62,3,3,20,18,1206
"STRASBOURG",130,11,3,NA,8,4,9,12,2,2,5,3,1,2,1,2,3,2,3,3,3,5,2,6,3,11,1,1,4,3,245
"NANCY",146,12,2,2,8,6,12,15,4,3,6,4,2,3,NA,2,4,3,2,3,3,4,4,9,3,14,1,NA,5,2,284
"BESANCON",113,8,2,NA,5,2,6,13,2,2,3,3,2,4,1,1,1,NA,2,2,3,3,3,6,1,10,1,1,3,2,205
"DIJON",122,11,2,NA,5,5,7,15,2,1,5,2,1,2,NA,1,3,NA,1,1,2,2,3,6,1,10,1,1,4,2,218
"REIMS",131,10,3,1,5,6,8,15,2,2,3,3,2,2,1,1,3,1,2,2,2,2,2,4,2,11,NA,1,2,NA,229
"CAEN",130,9,3,1,6,4,11,13,4,2,6,1,1,2,1,1,2,1,3,3,4,4,3,5,2,10,1,1,1,2,237
"ROUEN",138,13,3,1,6,4,11,17,3,2,5,3,3,5,1,1,5,1,4,3,6,3,5,9,4,12,NA,1,3,3,275
"LILLE",248,23,4,3,13,12,22,37,4,4,11,3,6,6,1,3,5,3,5,5,6,8,6,12,4,32,2,1,10,5,504
"AMIENS",112,9,2,2,5,3,8,12,4,1,4,2,2,3,1,2,3,NA,1,3,3,3,3,5,2,18,NA,1,2,2,218
"CLERMONT-FERRAND",116,10,3,NA,6,4,8,13,3,2,6,2,1,2,NA,1,4,NA,2,2,3,5,1,5,2,10,1,1,4,3,220
"GRENOBLE",103,12,2,NA,5,3,9,9,3,2,3,1,2,2,NA,1,2,1,2,2,2,3,2,5,2,12,NA,1,4,3,198
"LYON",197,21,4,1,11,4,13,17,4,3,8,4,4,6,1,2,6,1,3,4,5,4,5,11,4,21,NA,2,8,4,378
"SAINT ETIENNE",97,7,2,NA,3,1,5,7,1,1,2,1,1,2,NA,1,2,1,2,1,1,2,2,3,2,8,NA,1,4,1,161
"BREST",81,6,2,1,3,3,2,9,3,2,3,2,1,3,1,1,2,1,2,2,2,3,2,3,2,9,NA,1,3,2,157
"RENNES",111,10,4,NA,6,5,7,11,2,2,5,3,2,4,1,2,3,1,2,3,3,5,3,5,2,11,NA,1,2,2,218
"ANGERS",110,7,3,NA,4,7,7,10,2,1,3,2,2,3,1,1,2,1,2,1,2,2,2,3,2,11,NA,1,2,1,195
"NANTES",109,8,4,1,5,4,7,12,3,1,5,2,2,3,1,2,4,1,2,1,2,2,2,5,2,11,1,1,4,4,211
"TOURS",107,8,4,NA,5,NA,8,12,2,1,6,2,1,3,NA,1,6,1,1,3,3,4,3,8,2,11,NA,NA,3,2,207
"POITIERS",113,9,2,NA,5,2,8,18,3,2,5,2,1,3,1,1,2,1,2,3,2,5,2,5,2,10,NA,1,1,1,212
"MONTPELLIER",175,15,2,1,6,NA,9,15,2,3,6,5,4,3,1,2,6,2,5,4,5,3,3,6,4,15,NA,1,3,3,309
"AIX MARSEILLE",190,22,3,1,11,6,17,24,3,1,6,4,2,3,1,2,3,2,2,2,3,5,3,6,1,25,1,2,5,5,361
"NICE",77,7,1,1,4,2,6,10,2,1,2,1,1,2,NA,1,2,1,1,1,2,2,2,3,1,11,NA,1,2,2,149
"BORDEAUX",209,24,5,4,9,4,10,22,6,3,9,4,4,5,1,1,5,2,6,3,4,6,3,7,4,19,1,1,5,3,389
"OCEAN INDIEN",47,4,1,NA,3,NA,4,4,1,NA,1,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,1,NA,3,NA,NA,NA,NA,76
"TOULOUSE",143,18,4,2,8,6,9,22,2,3,7,3,3,4,1,1,2,1,3,3,2,3,4,9,4,13,1,NA,3,2,286
"LIMOGES",77,6,2,1,3,2,4,7,1,1,2,1,NA,1,NA,NA,1,NA,NA,1,1,3,1,2,1,6,NA,NA,2,1,127
"ANTILLES-GUYANE",67,7,1,NA,5,NA,5,5,1,1,3,2,1,1,NA,NA,1,NA,1,1,1,NA,1,3,1,5,NA,NA,2,2,117
"Tot",3930,383,88,30,200,124,296,465,87,61,164,80,62,100,19,41,98,33,75,72,89,116,88,184,74,401,15,26,111,80,7592
